home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
Chelsea,Newcastle United,109745,82263,194794,103192,41328.0,,85955,88894,184341,,,47431,173879.0,209046.0,67089,58845,119471,101148,92159.0,223175,170137,179018,180135.0,,180974,,,win,2019/20
Crystal Palace,Manchester City,20066,19419,55494,74230,49413.0,,66975,55037,82403,86417.0,50471.0,80146,,,121160,121145,220566,102826,27789.0,59859,61366,20664,,,103955,205651.0,165809.0,lose,2019/20
Everton,West Ham United,111234,106611,101188,164511,102747.0,,20467,153133,100649,120250.0,173807.0,212319,,,40694,40669,219924,81012,105717.0,217593,101537,86934,18073.0,204480.0,103123,,,win,2019/20
Leicester City,Burnley,17745,172850,218031,37642,111931.0,,201666,166989,172780,168580.0,203341.0,101668,,,98747,68983,17761,51927,39487.0,433154,90517,83314,60551.0,,44683,60689.0,,win,2019/20
Manchester United,Liverpool,51940,184667,95658,58893,,,101582,18892,214590,195851.0,,176297,156689.0,200617.0,116535,97032,122798,60914,169187.0,116643,41733,56979,,,92217,110979.0,152760.0,draw,2019/20
Sheffield United,Arsenal,172649,146610,40386,108416,,,82691,63426,47247,153723.0,79934.0,178304,27436.0,,80201,39476,101184,41270,111457.0,195735,200089,242166,84450.0,223340.0,54694,,,win,2019/20
Tottenham Hotspur,Watford,102884,55605,39194,173904,,,38290,157668,45268,80226.0,,78830,108823.0,95715.0,9089,52940,60232,41338,40868.0,43250,89085,121599,,,61566,50175.0,,draw,2019/20
Wolverhampton Wanderers,Southampton,38533,41727,90585,94147,,,171317,114128,19624,151589.0,159533.0,102057,209353.0,,107265,80447,93100,171771,,40146,78056,213482,132015.0,,101178,84939.0,83283.0,draw,2019/20
Arsenal,Crystal Palace,80201,192895,39476,101184,41270.0,,182539,195735,242166,84450.0,,59966,54694.0,,20066,19419,55494,74230,49413.0,66975,55037,60252,82403.0,50471.0,80146,,,draw,2019/20
Brighton and Hove Albion,Everton,131897,110735,83299,86153,78916.0,,40845,60307,66242,235382.0,,115382,233425.0,,111234,194164,106611,101188,102747.0,20467,153133,100649,120250.0,173807.0,212319,,,win,2019/20
Burnley,Chelsea,98747,68983,17761,51927,39487.0,,40145,433154,83314,60551.0,,44683,44699.0,,109745,82263,194794,103192,41328.0,176413,85955,91651,47431.0,184341.0,173879,,,lose,2019/20
Liverpool,Tottenham Hotspur,116535,97032,38454,122798,169187.0,,116643,41733,56979,,,92217,110979.0,118748.0,102884,38290,55605,173904,80226.0,157668,45268,108823,,,85971,78830.0,80607.0,win,2019/20
Manchester City,Aston Villa,121160,97299,121145,102826,27789.0,,59859,61366,20664,,,103955,205651.0,165809.0,21205,203368,169359,149484,108156.0,230046,122806,114283,148508.0,184704.0,213345,,,win,2019/20
Newcastle United,Wolverhampton Wanderers,67089,58845,101148,92159,57145.0,151119.0,223175,170137,179018,180135.0,,180974,,,38533,87835,94147,107613,,171317,114128,19624,151589.0,159533.0,102057,194634.0,,draw,2019/20
Norwich City,Manchester United,20480,232980,198826,194799,128348.0,,87396,193111,195546,78607.0,18665.0,57127,,,51940,184667,95658,18892,214590.0,176297,156689,101582,200617.0,195851.0,148225,,,lose,2019/20
Southampton,Leicester City,107265,80447,93100,171771,,,40146,78056,101178,213482.0,132015.0,84939,83283.0,,17745,172850,218031,37642,111931.0,201666,166989,172780,168580.0,203341.0,101668,,,lose,2019/20
Watford,Bournemouth,9089,52940,60232,155651,41338.0,85624.0,43250,89085,121599,,,94924,61566.0,,225321,56917,126184,54469,171129.0,152551,220307,90105,168991.0,,75115,78007.0,,draw,2019/20
West Ham United,Sheffield United,40694,55459,166640,20658,219924.0,,56377,101537,18987,18073.0,204480.0,103123,,,172649,146610,40386,108416,,82691,63426,47247,153723.0,79934.0,171975,27436.0,,draw,2019/20
Arsenal,Wolverhampton Wanderers,80201,192895,39476,101184,41270.0,,182539,37605,198849,242166.0,,59966,54694.0,,38533,94147,107613,151589,,87835,171317,114128,19624.0,,102057,194634.0,159533.0,draw,2019/20
Aston Villa,Liverpool,21205,203368,169359,149484,108156.0,,230046,122806,184704,,,213345,148508.0,193488.0,116535,97032,38454,122798,169187.0,41733,56979,39155,,,92217,110979.0,118748.0,lose,2019/20
Bournemouth,Manchester United,225321,56917,126184,54469,171129.0,,152551,153682,90105,168991.0,,75115,78007.0,,51940,184667,95658,18892,214590.0,176297,156689,101582,200617.0,195851.0,148225,,,win,2019/20
Brighton and Hove Albion,Norwich City,131897,110735,83299,86153,78916.0,,40845,60307,66242,235382.0,,115382,233425.0,,20480,232980,198826,194799,18665.0,195546,71738,90440,78607.0,89470.0,57127,,,win,2019/20
Crystal Palace,Leicester City,40836,19419,55494,74230,49413.0,,66975,55037,82403,86417.0,50471.0,80146,,,17745,172850,218031,37642,111931.0,201666,166989,172780,168580.0,203341.0,101668,,,lose,2019/20
Everton,Tottenham Hotspur,111234,194164,101188,164511,102747.0,,41823,20467,153133,120250.0,173807.0,212319,,,102884,55605,173904,80226,115556.0,85971,45268,108823,80607.0,231372.0,95715,,,draw,2019/20
Manchester City,Southampton,121160,58621,97299,145235,27789.0,,59859,61366,20664,,,103955,37572.0,165809.0,58376,93100,88900,213482,132015.0,78056,101178,91047,,,84939,83283.0,,win,2019/20
Sheffield United,Burnley,172649,146610,40386,108416,,,82691,63426,47247,153723.0,79934.0,178304,27436.0,,98747,68983,17761,51927,39487.0,40145,433154,83314,60551.0,,44683,44699.0,,win,2019/20
Watford,Chelsea,9089,52940,60232,155651,41338.0,85624.0,94924,89085,121599,61566.0,,73426,,,109745,194794,103192,41328,109533.0,176413,85955,91651,47431.0,184341.0,173879,,,lose,2019/20
West Ham United,Newcastle United,40694,55459,166640,20658,219924.0,,56377,101537,18987,18073.0,204480.0,103123,,,67089,58845,101148,92159,57145.0,50232,170137,153127,179018.0,,180974,,,lose,2019/20
Burnley,West Ham United,98747,103914,17761,51927,17997.0,,40145,433154,83314,60551.0,,60689,44699.0,,40694,55459,166640,219924,81012.0,101537,18987,18073,204480.0,,217593,103123.0,,win,2019/20
