home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home/name,away/name,home_result,season
121160.0,58621.0,206325.0,146941.0,57410.0,,220566.0,61366.0,20664.0,,,103955.0,37572.0,103025.0,131897.0,110735.0,83299.0,78916.0,,40845.0,86153.0,66242.0,209362.0,,115382.0,109345.0,116216.0,Manchester City,Brighton and Hove Albion,win,2019/20
67089.0,106618.0,119471.0,101148.0,92159.0,111773.0,153127.0,179018.0,104953.0,180135.0,,180974.0,,,9089.0,60232.0,41338.0,85624.0,,52940.0,43250.0,121599.0,54484.0,,73426.0,108413.0,61566.0,Newcastle United,Watford,draw,2019/20
107265.0,58822.0,93100.0,171771.0,135720.0,,78056.0,101178.0,128198.0,132015.0,,84939.0,200439.0,,51940.0,184667.0,95658.0,18892.0,214590.0,74208.0,43670.0,156689.0,200617.0,195851.0,176297.0,,,Southampton,Manchester United,draw,2019/20
37096.0,40669.0,219924.0,81012.0,105717.0,,56377.0,101537.0,86934.0,18073.0,204480.0,103123.0,,,20480.0,232980.0,198826.0,192303.0,194799.0,87396.0,193111.0,195546.0,71738.0,90440.0,57127.0,,,West Ham United,Norwich City,win,2019/20
21205.0,203368.0,47390.0,149484.0,108156.0,,122806.0,114283.0,184704.0,,,213345.0,193488.0,89274.0,37096.0,40669.0,219924.0,81012.0,105717.0,56377.0,101537.0,86934.0,18073.0,204480.0,103123.0,,,Aston Villa,West Ham United,draw,2019/20
225321.0,56917.0,126184.0,154131.0,171129.0,,155408.0,153682.0,78007.0,168991.0,,154566.0,75115.0,,111234.0,106611.0,101188.0,164511.0,59949.0,212319.0,41823.0,55422.0,153133.0,42774.0,177815.0,,,Bournemouth,Everton,win,2019/20
131897.0,61933.0,110735.0,83299.0,,,40845.0,109345.0,66242.0,78916.0,,115382.0,60307.0,20529.0,98747.0,68983.0,17761.0,51927.0,39487.0,40145.0,433154.0,60551.0,17349.0,,60689.0,44699.0,,Brighton and Hove Albion,Burnley,draw,2019/20
51940.0,184667.0,95658.0,18892.0,214590.0,,43670.0,156689.0,200617.0,62398.0,195851.0,176297.0,,,17745.0,172850.0,218031.0,37642.0,111931.0,172632.0,166989.0,172780.0,203341.0,197469.0,101668.0,,,Manchester United,Leicester City,win,2019/20
20480.0,113564.0,198826.0,194799.0,128348.0,,193111.0,195546.0,71738.0,78607.0,18665.0,57127.0,,,121160.0,58621.0,97299.0,206325.0,57410.0,103955.0,59859.0,220566.0,165809.0,20664.0,37572.0,,,Norwich City,Manchester City,win,2019/20
172649.0,146610.0,40386.0,108416.0,,,82691.0,63426.0,47247.0,153723.0,79934.0,169432.0,27436.0,,107265.0,80447.0,93100.0,171771.0,,58822.0,78056.0,431131.0,132015.0,,101178.0,200439.0,128198.0,Sheffield United,Southampton,lose,2019/20
37915.0,38290.0,55605.0,39194.0,80226.0,,157668.0,62974.0,45268.0,80607.0,,85971.0,78830.0,,40836.0,19419.0,55494.0,74230.0,40784.0,66975.0,55037.0,60252.0,82403.0,86417.0,80146.0,,,Tottenham Hotspur,Crystal Palace,win,2019/20
9089.0,60232.0,54484.0,40868.0,85624.0,,94924.0,43250.0,121599.0,108413.0,38439.0,73426.0,,,80201.0,39476.0,154043.0,41270.0,111457.0,182539.0,37605.0,242166.0,84450.0,,54694.0,195735.0,,Watford,Arsenal,draw,2019/20
38533.0,178876.0,94147.0,107613.0,,,171317.0,114128.0,19624.0,151589.0,159533.0,102057.0,194634.0,,109745.0,102380.0,135363.0,194794.0,,82263.0,85955.0,91651.0,41328.0,,47431.0,184341.0,173879.0,Wolverhampton Wanderers,Chelsea,lose,2019/20
80201.0,39476.0,154043.0,41270.0,111457.0,,182539.0,195735.0,242166.0,84450.0,223340.0,54694.0,,,21205.0,203368.0,47390.0,149484.0,108156.0,122806.0,114283.0,184704.0,,,213345.0,148508.0,193488.0,Arsenal,Aston Villa,win,2019/20
98747.0,68983.0,17761.0,51927.0,39487.0,,40145.0,433154.0,83314.0,60551.0,,60689.0,44699.0,,20480.0,113564.0,198826.0,194799.0,128348.0,193111.0,195546.0,71738.0,78607.0,18665.0,57127.0,,,Burnley,Norwich City,win,2019/20
109745.0,135363.0,194794.0,41328.0,109533.0,,85955.0,116594.0,91651.0,,,47431.0,184341.0,173879.0,60706.0,97032.0,122798.0,60914.0,169187.0,116643.0,41733.0,56979.0,,,92217.0,110979.0,118748.0,Chelsea,Liverpool,lose,2019/20
40836.0,19419.0,55494.0,74230.0,40784.0,,66975.0,55037.0,82403.0,86417.0,50471.0,80146.0,,,38533.0,90585.0,94147.0,107613.0,,87835.0,114128.0,19624.0,151589.0,,102057.0,194634.0,159533.0,Crystal Palace,Wolverhampton Wanderers,draw,2019/20
111234.0,106611.0,101188.0,164511.0,59949.0,,212319.0,41823.0,55422.0,42774.0,100649.0,242058.0,,,172649.0,146610.0,40386.0,108416.0,,82691.0,63426.0,47247.0,153723.0,79934.0,169432.0,171975.0,,Everton,Sheffield United,lose,2019/20
17745.0,172850.0,218031.0,37642.0,111931.0,,201666.0,166989.0,172780.0,168580.0,203341.0,101668.0,,,102884.0,38290.0,55605.0,39194.0,80226.0,157668.0,62974.0,45268.0,231372.0,,85971.0,78830.0,,Leicester City,Tottenham Hotspur,win,2019/20
121160.0,58621.0,102826.0,27789.0,57410.0,,220566.0,61366.0,20664.0,,,37572.0,165809.0,103025.0,9089.0,60232.0,20145.0,54484.0,40868.0,96767.0,121599.0,108413.0,38439.0,,94924.0,43250.0,,Manchester City,Watford,win,2019/20
67089.0,106618.0,119471.0,101148.0,92159.0,109528.0,50232.0,153127.0,179018.0,104953.0,,180974.0,,,131897.0,110735.0,83299.0,78916.0,,40845.0,86153.0,66242.0,235382.0,,115382.0,60307.0,74471.0,Newcastle United,Brighton and Hove Albion,draw,2019/20
107265.0,58822.0,93100.0,171771.0,135720.0,,78056.0,101178.0,128198.0,132015.0,,200439.0,83283.0,,225321.0,56917.0,126184.0,154131.0,171129.0,152551.0,153682.0,78007.0,168991.0,,154566.0,75115.0,,Southampton,Bournemouth,lose,2019/20
37096.0,55459.0,40669.0,219924.0,81012.0,,56377.0,101537.0,217593.0,18073.0,204480.0,103123.0,,,51940.0,184667.0,95658.0,18892.0,214590.0,43670.0,156689.0,200617.0,62398.0,195851.0,176297.0,,,West Ham United,Manchester United,win,2019/20
21205.0,203368.0,169359.0,149484.0,108156.0,,122806.0,85242.0,184704.0,,,213345.0,114283.0,193488.0,98747.0,68983.0,17761.0,51927.0,39487.0,40145.0,433154.0,83314.0,60551.0,,60689.0,44699.0,,Aston Villa,Burnley,draw,2019/20
225321.0,56917.0,126184.0,154131.0,171129.0,,152551.0,153682.0,78007.0,168991.0,,154566.0,75115.0,,37096.0,55459.0,40669.0,219924.0,81012.0,56377.0,101537.0,217593.0,18073.0,204480.0,103123.0,,,Bournemouth,West Ham United,draw,2019/20
109745.0,82263.0,135363.0,194794.0,41328.0,,85955.0,88894.0,184341.0,,,47431.0,49579.0,173879.0,131897.0,110735.0,83299.0,78916.0,,40845.0,60307.0,74471.0,86153.0,235382.0,115382.0,227127.0,,Chelsea,Brighton and Hove Albion,win,2019/20
40836.0,19419.0,55494.0,74230.0,58786.0,,66975.0,55037.0,82403.0,86417.0,50471.0,80146.0,,,28082.0,232980.0,198826.0,194799.0,128348.0,87396.0,193111.0,195546.0,71738.0,78607.0,57127.0,,,Crystal Palace,Norwich City,win,2019/20
111234.0,106611.0,101188.0,164511.0,59949.0,,212319.0,41823.0,55422.0,20467.0,42774.0,177815.0,,,121160.0,58621.0,206325.0,27789.0,57410.0,59859.0,220566.0,61366.0,,,103955.0,205651.0,103025.0,Everton,Manchester City,lose,2019/20
17745.0,172850.0,218031.0,37642.0,111931.0,,201666.0,166989.0,168580.0,203341.0,106837.0,101668.0,,,67089.0,106618.0,119471.0,101148.0,111773.0,153127.0,179018.0,196118.0,104953.0,180135.0,180974.0,,,Leicester City,Newcastle United,win,2019/20
51940.0,184667.0,95658.0,18892.0,180804.0,,74208.0,109322.0,156689.0,200617.0,195851.0,176297.0,,,80201.0,39476.0,101184.0,41270.0,111457.0,198849.0,242166.0,84450.0,,,54694.0,195735.0,223340.0,Manchester United,Arsenal,draw,2019/20
172649.0,146610.0,40386.0,108416.0,,,82691.0,63426.0,47247.0,153723.0,79934.0,169432.0,171975.0,,60706.0,97032.0,122798.0,60914.0,169187.0,116643.0,41733.0,56979.0,,,92217.0,110979.0,118748.0,Sheffield United,Liverpool,lose,2019/20
37915.0,38290.0,55605.0,39194.0,80226.0,,85971.0,157668.0,45268.0,80607.0,231372.0,78830.0,,,107265.0,80447.0,93100.0,171771.0,,40146.0,78056.0,101178.0,132015.0,,84939.0,83283.0,128198.0,Tottenham Hotspur,Southampton,win,2019/20
38533.0,90585.0,94147.0,107613.0,,,87835.0,114128.0,19624.0,151589.0,,247632.0,102057.0,159533.0,9089.0,52940.0,60232.0,41338.0,40868.0,43250.0,121599.0,38439.0,,,94924.0,232185.0,50175.0,Wolverhampton Wanderers,Watford,win,2019/20
