id,name,season,defence_clean sheets,defence_goals conceded,defence_tackles,defence_tackle success %,defence_last man tackles,defence_blocked shots,defence_interceptions,defence_clearances,defence_headed clearance,defence_clearances off line,defence_recoveries,defence_duels won,defence_duels lost,defence_successful 50/50s,defence_aerial battles won,defence_aerial battles lost,defence_own goals,defence_errors leading to goal,teamplay_goals,teamplay_assists,teamplay_passes,teamplay_passes per match,teamplay_big chances created,teamplay_crosses,teamplay_cross accuracy %,teamplay_through balls,teamplay_accurate long balls,discipline_yellow cards,discipline_red cards,discipline_fouls,discipline_offsides,attack_goals,attack_goals per match,attack_headed goals,attack_goals with right foot,attack_goals with left foot,attack_penalties scored,attack_freekicks scored,attack_shots,attack_shots on target,attack_shooting accuracy %,attack_hit woodwork,attack_big chances missed,goalkeeping_saves,goalkeeping_penalties saved,goalkeeping_punches,goalkeeping_high claims,goalkeeping_catches,goalkeeping_sweeper clearances,goalkeeping_throw outs,goalkeeping_goal kicks
p50175,Danny Welbeck,2020/21,0,0,12,0,0,9,7,12,7,0,0,0,0,0,0,0,0,0,0,1,258,10.75,6,3,0,0,0,0,0,19,5,6,0.25,1,3,2,0,0,35,15,43,2,9,0,0,0,0,0,0,0,0
p169102,Tiemoué Bakayoko,2019/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p245719,Taylor Harwood-Bellis,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p215439,Tomás Soucek,2020/21,0,0,78,53,0,13,62,102,70,0,246,364,308,16,234,161,0,0,0,1,"1,607",42.29,2,9,11,0,84,7,1,69,2,10,0.26,3,6,1,0,0,64,23,36,1,1,0,0,0,0,0,0,0,0
p17745,Kasper Schmeichel,2019/20,13,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"1,033",27.18,0,0,0,0,248,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,96,2,8,14,12,8,159,241
p7958,Jermain Defoe,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.75,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0
p232229,Vontae Campbell,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p101148,Jamaal Lascelles,2021/22,2,44,15,47,0,4,22,121,69,2,86,109,57,1,89,31,2,0,0,0,690,26.54,0,0,0,0,35,5,0,17,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
p106618,Paul Dummett,2021/22,0,1,7,43,0,0,3,5,4,0,5,15,8,0,5,2,0,0,0,0,52,17.33,0,3,0,0,1,2,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p37096,Lukasz Fabianski,2021/22,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,22.95,0,0,0,0,219,2,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,114,3,11,25,8,5,164,277
p206325,Oleksandr Zinchenko,2020/21,0,0,20,70,0,2,14,11,7,0,65,44,47,7,15,17,0,0,0,4,971,64.73,3,31,16,2,24,0,0,11,1,0,0.0,0,0,0,0,0,12,4,33,0,0,0,0,0,0,0,0,0,0
p215459,George McEachran,2019/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p11974,Eldin Jakupovic,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
