home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
West Ham United,Norwich City,37096,81012,219924,40669,105717,-1,86934,18073,101537,204480,56377,103123,-1,-1,20480,192303,198826,194799,232980,193111,195546,87396,71738,90440,57127,-1,-1,win,2019/20
Aston Villa,West Ham United,21205,47390,149484,203368,108156,-1,114283,122806,184704,-1,-1,193488,213345,89274,37096,81012,219924,40669,105717,86934,18073,101537,204480,56377,103123,-1,-1,draw,2019/20
Bournemouth,Everton,225321,126184,56917,154131,171129,-1,78007,155408,168991,153682,-1,75115,154566,-1,111234,164511,106611,101188,59949,212319,55422,153133,41823,42774,177815,-1,-1,win,2019/20
Brighton and Hove Albion,Burnley,131897,83299,110735,61933,-1,-1,66242,109345,78916,40845,-1,115382,60307,20529,98747,51927,68983,17761,39487,433154,40145,60551,17349,-1,60689,44699,-1,draw,2019/20
Liverpool,Newcastle United,60706,60914,122798,169187,97032,-1,41733,81880,116643,-1,-1,118748,110979,152760,67089,101148,106618,119471,92159,153127,179018,50232,104953,-1,180974,-1,-1,win,2019/20
Manchester United,Leicester City,51940,18892,184667,214590,95658,-1,62398,156689,43670,195851,200617,176297,-1,-1,17745,218031,111931,37642,172850,203341,166989,172632,172780,197469,101668,-1,-1,win,2019/20
Norwich City,Manchester City,20480,194799,198826,113564,128348,-1,195546,193111,71738,78607,18665,57127,-1,-1,121160,58621,206325,97299,57410,103955,220566,165809,59859,20664,37572,-1,-1,win,2019/20
Sheffield United,Southampton,172649,146610,40386,108416,-1,-1,82691,63426,47247,153723,79934,169432,27436,-1,107265,171771,93100,80447,-1,78056,431131,132015,58822,-1,101178,200439,128198,lose,2019/20
Tottenham Hotspur,Crystal Palace,37915,55605,39194,80226,38290,-1,62974,45268,80607,157668,-1,85971,78830,-1,40836,55494,19419,74230,40784,55037,60252,82403,66975,86417,80146,-1,-1,win,2019/20
Watford,Arsenal,9089,60232,54484,40868,85624,-1,121599,108413,94924,43250,38439,73426,-1,-1,80201,154043,39476,41270,111457,37605,242166,84450,182539,-1,54694,195735,-1,draw,2019/20
Wolverhampton Wanderers,Chelsea,38533,94147,178876,107613,-1,-1,19624,151589,114128,159533,171317,102057,194634,-1,109745,102380,135363,194794,-1,85955,91651,41328,82263,-1,47431,184341,173879,lose,2019/20
Arsenal,Aston Villa,80201,154043,39476,41270,111457,-1,84450,182539,223340,195735,242166,54694,-1,-1,21205,47390,149484,203368,108156,114283,122806,184704,-1,-1,148508,193488,213345,win,2019/20
Burnley,Norwich City,98747,51927,68983,17761,39487,-1,83314,40145,433154,60551,-1,60689,44699,-1,20480,194799,198826,113564,128348,195546,193111,71738,78607,18665,57127,-1,-1,win,2019/20
Chelsea,Liverpool,109745,41328,109533,135363,194794,-1,85955,91651,116594,-1,-1,47431,184341,173879,60706,60914,122798,169187,97032,41733,56979,116643,-1,-1,110979,118748,92217,lose,2019/20
Crystal Palace,Wolverhampton Wanderers,40836,55494,19419,74230,40784,-1,82403,86417,66975,50471,55037,80146,-1,-1,38533,90585,94147,107613,-1,114128,19624,87835,151589,-1,102057,159533,194634,draw,2019/20
Everton,Sheffield United,111234,164511,106611,101188,59949,-1,212319,41823,55422,42774,100649,242058,-1,-1,172649,146610,40386,108416,-1,82691,63426,47247,153723,79934,169432,171975,-1,lose,2019/20
Leicester City,Tottenham Hotspur,17745,218031,111931,37642,172850,-1,166989,172780,201666,168580,203341,101668,-1,-1,102884,55605,39194,80226,38290,157668,62974,45268,231372,-1,85971,78830,-1,win,2019/20
